wkt_geom,id,node_id,xmin,ymin,xmax,ymax
"Polygon ((-74.274767 40.988332, -73.683825 40.988332, -73.683825 40.550852, -74.274767 40.550852, -74.274767 40.988332))",1,0,-74.274767,40.550852,-73.683825,40.988332
"Polygon ((-74.274767 40.769592, -73.979296 40.769592, -73.979296 40.550852, -74.274767 40.550852, -74.274767 40.769592))",2,1,-74.274767,40.550852,-73.979296,40.769592
"Polygon ((-73.979296 40.769592, -73.683825 40.769592, -73.683825 40.550852, -73.979296 40.550852, -73.979296 40.769592))",3,2,-73.979296,40.550852,-73.683825,40.769592
"Polygon ((-74.274767 40.988332, -73.979296 40.988332, -73.979296 40.769592, -74.274767 40.769592, -74.274767 40.988332))",4,3,-74.274767,40.769592,-73.979296,40.988332
"Polygon ((-73.979296 40.988332, -73.683825 40.988332, -73.683825 40.769592, -73.979296 40.769592, -73.979296 40.988332))",5,4,-73.979296,40.769592,-73.683825,40.988332
"Polygon ((-74.274767 40.660222000000005, -74.1270315 40.660222000000005, -74.1270315 40.550852, -74.274767 40.550852, -74.274767 40.660222000000005))",6,5,-74.274767,40.550852,-74.1270315,40.660222
"Polygon ((-74.1270315 40.660222000000005, -73.979296 40.660222000000005, -73.979296 40.550852, -74.1270315 40.550852, -74.1270315 40.660222000000005))",7,6,-74.1270315,40.550852,-73.979296,40.660222
"Polygon ((-74.274767 40.769592, -74.1270315 40.769592, -74.1270315 40.660222000000005, -74.274767 40.660222000000005, -74.274767 40.769592))",8,7,-74.274767,40.660222,-74.1270315,40.769592
"Polygon ((-74.1270315 40.769592, -73.979296 40.769592, -73.979296 40.660222000000005, -74.1270315 40.660222000000005, -74.1270315 40.769592))",9,8,-74.1270315,40.660222,-73.979296,40.769592
"Polygon ((-73.979296 40.660222000000005, -73.8315605 40.660222000000005, -73.8315605 40.550852, -73.979296 40.550852, -73.979296 40.660222000000005))",10,9,-73.979296,40.550852,-73.8315605,40.660222
"Polygon ((-73.8315605 40.660222000000005, -73.683825 40.660222000000005, -73.683825 40.550852, -73.8315605 40.550852, -73.8315605 40.660222000000005))",11,10,-73.8315605,40.550852,-73.683825,40.660222
"Polygon ((-73.979296 40.769592, -73.8315605 40.769592, -73.8315605 40.660222000000005, -73.979296 40.660222000000005, -73.979296 40.769592))",12,11,-73.979296,40.660222,-73.8315605,40.769592
"Polygon ((-73.8315605 40.769592, -73.683825 40.769592, -73.683825 40.660222000000005, -73.8315605 40.660222000000005, -73.8315605 40.769592))",13,12,-73.8315605,40.660222,-73.683825,40.769592
"Polygon ((-74.274767 40.878962, -74.1270315 40.878962, -74.1270315 40.769592, -74.274767 40.769592, -74.274767 40.878962))",14,13,-74.274767,40.769592,-74.1270315,40.878962
